run_accession	study_accession	sample_accession	experiment_accession	scientific_name	experiment_title	fastq_ftp	sample_title
ERR13347081	PRJEB77209	SAMEA115805024	ERX12717981	Staphylococcus aureus	NextSeq 500 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/081/ERR13347081/ERR13347081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/081/ERR13347081/ERR13347081_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E2 Sample 16
ERR13347088	PRJEB77209	SAMEA115805031	ERX12717988	Staphylococcus aureus	Illumina NovaSeq 6000 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/088/ERR13347088/ERR13347088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/088/ERR13347088/ERR13347088_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab F Sample 04
ERR13347092	PRJEB77209	SAMEA115805035	ERX12717992	Staphylococcus aureus	Illumina NovaSeq 6000 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/092/ERR13347092/ERR13347092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/092/ERR13347092/ERR13347092_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab F Sample 08
ERR13347099	PRJEB77209	SAMEA115805042	ERX12717999	Staphylococcus aureus	Illumina NovaSeq 6000 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/099/ERR13347099/ERR13347099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/099/ERR13347099/ERR13347099_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab F Sample 15
ERR13347101	PRJEB77209	SAMEA115805044	ERX12718001	Staphylococcus aureus	Illumina NovaSeq 6000 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR13347101/ERR13347101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR13347101/ERR13347101_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab F Sample 17
ERR13347106	PRJEB77209	SAMEA115805049	ERX12718006	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR13347106/ERR13347106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR13347106/ERR13347106_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab G Sample 03
ERR13347107	PRJEB77209	SAMEA115805050	ERX12718007	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR13347107/ERR13347107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR13347107/ERR13347107_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab G Sample 04
ERR13347109	PRJEB77209	SAMEA115805052	ERX12718009	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR13347109/ERR13347109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR13347109/ERR13347109_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab G Sample 06
ERR13347110	PRJEB77209	SAMEA115805053	ERX12718010	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/010/ERR13347110/ERR13347110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/010/ERR13347110/ERR13347110_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab G Sample 07
ERR13347113	PRJEB77209	SAMEA115805056	ERX12718013	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/013/ERR13347113/ERR13347113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/013/ERR13347113/ERR13347113_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab G Sample 10
